,cX,cY,Reps
0,578,1028,0
1,578,1029,0
2,578,1030,0
3,578,1030,0
4,578,1031,0
5,578,1030,0
6,577,1031,0
7,577,1031,0
8,576,1030,0
9,575,1030,0
10,576,1029,0
11,575,1028,0
12,574,1028,0
13,575,1027,0
14,575,1026,0
15,575,1025,0
16,574,1024,0
17,575,1022,0
18,575,1020,0
19,575,1018,0
20,575,1015,0
21,576,1011,0
22,577,1006,0
23,577,1001,0
24,578,994,0
25,579,987,0
26,579,979,0
27,580,971,0
28,581,962,0
29,582,952,0
30,583,941,0
31,584,929,0
32,585,917,0
33,585,905,0
34,586,892,0
35,586,880,0
36,587,868,0
37,588,856,0
38,589,844,0
39,590,833,0
40,591,821,0
41,593,809,0
42,594,798,0
43,595,786,0
44,596,774,0
45,597,763,0
46,597,752,0
47,598,741,0
48,599,729,0
49,599,718,0
50,600,706,0
51,600,695,0
52,600,684,0
53,600,673,0
54,600,661,0
55,601,651,0
56,601,640,0
57,601,629,0
58,601,618,0
59,602,607,0
60,602,597,0
61,602,587,0
62,602,576,0
63,602,566,0
64,602,557,0
65,602,547,0
66,602,538,0
67,602,530,0
68,603,521,0
69,603,513,0
70,602,506,0
71,603,498,0
72,602,492,0
73,602,485,0
74,602,478,0
75,602,472,0
76,602,466,0
77,602,459,0
78,601,453,0
79,601,447,0
80,600,441,0
81,599,435,0
82,599,430,0
83,597,425,0
84,597,421,0
85,595,416,0
86,595,412,0
87,594,409,0
88,592,407,0
89,591,405,0
90,589,403,0
91,589,402,0
92,587,402,0
93,586,402,0
94,585,403,0
95,585,405,0
96,583,410,0
97,583,415,0
98,582,421,0
99,582,428,0
100,582,436,0
101,581,444,0
102,580,455,0
103,579,465,0
104,578,476,0
105,577,488,0
106,577,501,0
107,576,513,0
108,576,527,0
109,576,541,0
110,575,556,0
111,575,570,0
112,574,584,0
113,574,599,0
114,574,614,0
115,573,628,0
116,572,643,0
117,572,658,0
118,571,672,0
119,571,688,0
120,570,703,0
121,569,718,0
122,568,734,0
123,567,750,0
124,566,766,0
125,565,783,0
126,564,800,0
127,562,818,0
128,561,836,0
129,560,853,0
130,558,872,0
131,556,889,0
132,554,906,0
133,552,924,0
134,550,941,0
135,549,956,0
136,547,969,0
137,546,982,0
138,546,993,0
139,545,1001,0
140,544,1007,0
141,543,1012,0
142,543,1013,0
143,543,1015,0
144,543,1013,0
145,543,1011,0
146,543,1008,1
147,543,1005,1
148,543,1002,1
149,543,1000,1
150,543,999,1
151,543,1000,1
152,544,1000,1
153,544,1002,1
154,545,1004,1
155,545,1006,1
